,"Table S1 All DEGs obtained in this study with annotation and TPM. Pre-po, Pol, Post-pol y Fer",,,,,,,,,,,,
TRINITY_DN1483_c0_g1_i9,PP349_ARATH,PF13041.7,PPR repeat family  ,|0048255,|mRNA stabilization,.,.,|0009507|0016021,|chloroplast|integral component of membrane,3.5,3.5,11,79.5
TRINITY_DN14902_c0_g1_i1,GPAT3_ARATH,PF01553.22,Acyltransferase    ,|0010143|0016311|0048235|0080167,|cutin biosynthetic process|dephosphorylation|pollen sperm cell differentiation|response to karrikin,|0016746|0016791,|transferase activity transferring acyl groups|phosphatase activity,|0016021|0005739,|integral component of membrane|mitochondrion,71.517,446.6985,728.1645,1273.526
TRINITY_DN15058_c1_g1_i1,CP121_ARATH,PF02672.16,CP12 domain   ,|0080153|0071454|0009744|0070417|0018316|0034605|0009416|0065003|0019253,|negative regulation of reductive pentose-phosphate cycle|cellular response to anoxia|response to sucrose|cellular response to cold|peptide cross-linking via L-cystine|cellular response to heat|response to light stimulus|protein-containing complex assembly|reductive pentose-phosphate cycle,|0030674|0019899|0044877|0016151|0005507,|protein-macromolecule adaptor activity|enzyme binding|protein-containing complex binding|nickel cation binding|copper ion binding,|0009507|0009532|0099080|0005829|0032991,|chloroplast|plastid stroma|supramolecular complex|cytosol|protein-containing complex,0,43.8,182.139,0
TRINITY_DN1516_c0_g1_i2,IPO9_MOUSE,PF06088.12,Nucleopolyhedrovirus telokin-like protein-20 (TLP20) ,.,.,.,.,.,.,81.1725,0,0,0
TRINITY_DN1516_c0_g1_i3,IPO9_MOUSE,PF06088.12,Nucleopolyhedrovirus telokin-like protein-20 (TLP20) ,.,.,.,.,.,.,0,180.8515,128.864,0
TRINITY_DN1516_c0_g1_i5,IPO9_MOUSE,PF03810.20,Importin-beta N-terminal domain  ,|0006886|0051170|0034504|0017038|0072594,|intracellular protein transport|import into nucleus|protein localization to nucleus|protein import|establishment of protein localization to organelle,.,.,|0005635|0005829|0016021,|nuclear envelope|cytosol|integral component of membrane,248.544,88.2975,0,130.7385
TRINITY_DN1529_c0_g1_i4,MET18_DICDI,PF10294.10,Lysine methyltransferase   ,.,.,.,.,|0016021,|integral component of membrane,551.422,10372.21,17030.716,17352.053
TRINITY_DN15333_c0_g1_i6,CYT1_ACTCC,PF16845.6,Aspartic acid proteinase inhibitor ,|0010951|0006952,|negative regulation of endopeptidase activity|defense response,|0004869,|cysteine-type endopeptidase inhibitor activity,|0016021,|integral component of membrane,1,1,20.9995,73.407
TRINITY_DN15373_c0_g2_i1,CXE2_ARATH,PF07859.14,alpha/beta hydrolase fold  ,.,.,|0016787|0033987,|hydrolase activity|2-hydroxyisoflavanone dehydratase activity,.,.,200.994,142.9735,3.9295,47.448
TRINITY_DN1548_c0_g1_i13,SUI12_ARATH,PF01253.23,Translation initiation factor SUI1 ,|0006413|0006417|0000012|0006302|0090305,|translational initiation|regulation of translation|single strand break repair|double-strand break repair|nucleic acid phosphodiester bond hydrolysis,|0003743|0017005|0016757|0003697|0003690|0004527|0051536|0046872,|translation initiation factor activity|3'-tyrosyl-DNA phosphodiesterase activity|transferase activity transferring glycosyl groups|single-stranded DNA binding|double-stranded DNA binding|exonuclease activity|iron-sulfur cluster binding|metal ion binding,|0005634|0016021,|nucleus|integral component of membrane,136.6765,99.3865,95.6925,0
TRINITY_DN1554_c0_g1_i2,SFH12_ARATH,PF00650.21,CRAL/TRIO domain   ,.,.,.,.,|0016021,|integral component of membrane,69.341,68.421,81.3555,363.38
TRINITY_DN1558_c1_g1_i1,4CLLA_ARATH,PF00501.29,AMP-binding enzyme   ,|0009698|0010030|0006631|0010214|0033611|0046686|0050832,|phenylpropanoid metabolic process|positive regulation of seed germination|fatty acid metabolic process|seed coat development|oxalate catabolic process|response to cadmium ion|defense response to fungus,|0016207|0031956|0050203|0016829,|4-coumarate-CoA ligase activity|medium-chain fatty acid-CoA ligase activity|oxalate-CoA ligase activity|lyase activity,|0009506|0048046|0009570|0016021,|plasmodesma|apoplast|chloroplast stroma|integral component of membrane,2,2,12.5,88.0015
TRINITY_DN15705_c0_g2_i1,OBP2B_MAIZE,PF06884.12,Protein of unknown function (DUF1264),.,.,.,.,|0016021,|integral component of membrane,5.669,238.011,1575.4075,1123.71
TRINITY_DN1585_c0_g1_i2,LIRP1_ORYSJ,PF07207.12,Light regulated protein Lir1 ,|0007623,|circadian rhythm,|0005515,|protein binding,|0009507|0009532|0009526|0055035|0005829|0098796,|chloroplast|plastid stroma|plastid envelope|plastid thylakoid membrane|cytosol|membrane protein complex,231.389,0,267.641,79.733
TRINITY_DN1586_c0_g1_i3,SDF2_ARATH,PF02815.20,MIR domain   ,|0050832|0035269|0002221|0042742,|defense response to fungus|protein O-linked mannosylation|pattern recognition receptor signaling pathway|defense response to bacterium,|0016757,|transferase activity transferring glycosyl groups,|0016020|0005783|0005773,|membrane|endoplasmic reticulum|vacuole,64.564,56.1075,127.049,347.3845
TRINITY_DN158_c0_g1_i4,ICIW_WHEAT,PF00280.19,Potato inhibitor I family ,.,.,.,.,.,.,89.5625,114.2915,0,95.9555
TRINITY_DN1592_c0_g1_i8,C2D61_ARATH,PF00168.31,C2 domain   ,|0006869,|lipid transport,|0008289,|lipid binding,|0016021,|integral component of membrane,3032.621,1801.6725,94.1415,261.688
TRINITY_DN1605_c0_g1_i12,CLPB1_ARATH,PF07724.15,AAA domain (Cdc48 subfamily) ,|0034605|0043335|0045727|0071456,|cellular response to heat|protein unfolding|positive regulation of translation|cellular response to hypoxia,|0016887|0005524|0005515,|ATPase activity|ATP binding|protein binding,|0005737|0005634|0031967|0070013|0043233|0043232,|cytoplasm|nucleus|organelle envelope|intracellular organelle lumen|organelle lumen|intracellular non-membrane-bounded organelle,258.0285,63.3025,1.4105,0
TRINITY_DN1605_c0_g1_i7,CLPB1_ARATH,PF07724.15,AAA domain (Cdc48 subfamily) ,|0034605|0043335|0045727|0071456,|cellular response to heat|protein unfolding|positive regulation of translation|cellular response to hypoxia,|0016887|0005524|0005515,|ATPase activity|ATP binding|protein binding,|0005737|0005634|0031967|0070013|0043233|0043232,|cytoplasm|nucleus|organelle envelope|intracellular organelle lumen|organelle lumen|intracellular non-membrane-bounded organelle,649.02,3032.612,3251.9645,2695.733
TRINITY_DN16088_c0_g1_i6,CB11_SOLLC,PF00504.22,Chlorophyll A-B binding protein ,|0009765|0018298|0009416|0009409,|photosynthesis light harvesting|protein-chromophore linkage|response to light stimulus|response to cold,|0016168|0046872|0019904|0003729,|chlorophyll binding|metal ion binding|protein domain specific binding|mRNA binding,|0009522|0009523|0009535|0010287|0009941|0016021,|photosystem I|photosystem II|chloroplast thylakoid membrane|plastoglobule|chloroplast envelope|integral component of membrane,0,7.653,322.6255,96.3915
TRINITY_DN1610_c0_g1_i1,CYSEP_RICCO,PF00112.24,Papain family cysteine protease ,|0006508|0044257,|proteolysis|cellular protein catabolic process,|0008234|0004175,|cysteine-type peptidase activity|endopeptidase activity,|0005773|0005788|0033095|0005615|0016021,|vacuole|endoplasmic reticulum lumen|aleurone grain|extracellular space|integral component of membrane,2,4.5,32.5,157.0005
TRINITY_DN1612_c2_g1_i1,E13F_HORVU,PF00332.19,Glycosyl hydrolases family 17 ,|0005975|0006950|0006310|0051716,|carbohydrate metabolic process|response to stress|DNA recombination|cellular response to stimulus,|0004553|0003697|0008094|0005524,|hydrolase activity hydrolyzing O-glycosyl compounds|single-stranded DNA binding|DNA-dependent ATPase activity|ATP binding,|0046658,|anchored component of plasma membrane,0,0,111.1465,15.656
TRINITY_DN1625_c0_g1_i4,ARFI_ARATH,PF02309.17,AUX/IAA family   ,|0009734|0006355,|auxin-activated signaling pathway|regulation of transcription DNA-templated,|0003677,|DNA binding,|0005634,|nucleus,156.006,127.591,0,3.085
TRINITY_DN16304_c0_g1_i4,RBM28_MOUSE,PF00076.23,RNA recognition motif. (a.k.a. RRM,.,.,|0003723,|RNA binding,|1990904|0005634,|ribonucleoprotein complex|nucleus,354.475,376.682,296.5,3.5
TRINITY_DN1636_c0_g1_i1,H2B1_ARATH,PF00125.25,Core histone H2A/H2B/H3/H4  ,|0006334,|nucleosome assembly,|0046982|0003677,|protein heterodimerization activity|DNA binding,|0000786|0005634|0016021,|nucleosome|nucleus|integral component of membrane,22129.04,16390.02,493.7155,7344.74
TRINITY_DN16445_c0_g1_i1,HS23C_OXYRB,PF00011.22,Hsp20/alpha crystallin family  ,|0046686,|response to cadmium ion,|0005515,|protein binding,|0005739|0009570|0016021,|mitochondrion|chloroplast stroma|integral component of membrane,63.2145,0,83.3745,29.5195
TRINITY_DN1644_c0_g1_i7,GPT2_ARATH,PF03151.17,Triose-phosphate Transporter family  ,|0015713|0015717|0008643|0051726,|phosphoglycerate transmembrane transport|triose phosphate transport|carbohydrate transport|regulation of cell cycle,|0015120|0071917|0015297|0004693,|phosphoglycerate transmembrane transporter activity|triose-phosphate transmembrane transporter activity|antiporter activity|cyclin-dependent protein serine/threonine kinase activity,|0031969|0005794|0016021,|chloroplast membrane|Golgi apparatus|integral component of membrane,0,175.244,39.844,0
TRINITY_DN1664_c0_g1_i17,AMO2_ARTS1,PF01179.21,Copper amine oxidase,|0009308,|amine metabolic process,.,.,.,.,222.536,614.7385,2381.8545,1884.5055
TRINITY_DN1673_c0_g1_i1,CIPKJ_ORYSJ,PF00069.26,Protein kinase domain  ,|0006468|0007165,|protein phosphorylation|signal transduction,|0106311|0106310|0005524|0005515,|protein threonine kinase activity|protein serine kinase activity|ATP binding|protein binding,|0016021|0005634|0005737,|integral component of membrane|nucleus|cytoplasm,230.5365,176.18,0,419.237
TRINITY_DN1679_c0_g1_i2,KIC_ARATH,PF13833.7,EF-hand domain pair  ,.,.,|0005509,|calcium ion binding,.,.,0.9425,43.017,317.953,59.127
TRINITY_DN1697_c0_g1_i22,LOG8_ARATH,PF03641.15,Possible lysine decarboxylase  ,|0009691|0005975,|cytokinin biosynthetic process|carbohydrate metabolic process,|0016799|0004650|0016829,|hydrolase activity hydrolyzing N-glycosyl compounds|polygalacturonase activity|lyase activity,|0005829|0005634|0005618|0016021,|cytosol|nucleus|cell wall|integral component of membrane,0,0,39.6435,46.092
TRINITY_DN1697_c0_g1_i38,LOGL2_ORYSJ,PF03641.15,Possible lysine decarboxylase  ,|0009691,|cytokinin biosynthetic process,|0016799|0016829,|hydrolase activity hydrolyzing N-glycosyl compounds|lyase activity,|0005829|0005634|0016021,|cytosol|nucleus|integral component of membrane,102.853,45.1735,137.1725,0
TRINITY_DN1700_c1_g1_i7,E133_ARATH,PF00332.19,Glycosyl hydrolases family 17 ,|0005975|0006952,|carbohydrate metabolic process|defense response,|0042973|0016740,|glucan endo-13-beta-D-glucosidase activity|transferase activity,|0046658|0016021,|anchored component of plasma membrane|integral component of membrane,0,97.058,0,73.9075
TRINITY_DN1703_c0_g1_i6,WRK40_ARATH,PF03106.16,WRKY DNA -binding domain ,|0006355|0010200|0009751|0009620|0009617|0048544,|regulation of transcription DNA-templated|response to chitin|response to salicylic acid|response to fungus|response to bacterium|recognition of pollen,|0043565|0003700,|sequence-specific DNA binding|DNA-binding transcription factor activity,|0005634,|nucleus,0,119.3,152.3805,14.7165
TRINITY_DN1704_c0_g1_i36,KEA3_ARATH,PF00999.22,Sodium/hydrogen exchanger family  ,|0006813|1902600|1905157|0009643|0009658,|potassium ion transport|proton transmembrane transport|positive regulation of photosynthesis|photosynthetic acclimation|chloroplast organization,|0015299,|solute:proton antiporter activity,|0009507|0009526|0016021|0055035,|chloroplast|plastid envelope|integral component of membrane|plastid thylakoid membrane,0,0,78.0005,0
TRINITY_DN17216_c0_g1_i1,Y1534_ARATH,PF09483.11,Type III secretion protein (HpaP),|0016310|0006464,|phosphorylation|cellular protein modification process,|0016301|0016773|0140096|0005524,|kinase activity|phosphotransferase activity alcohol group as acceptor|catalytic activity acting on a protein|ATP binding,.,.,523.4195,655.3485,1065.56,36.2695
TRINITY_DN1727_c0_g1_i2,IPYR1_ARATH,PF00125.25,Core histone H2A/H2B/H3/H4  ,|0010274|0032259|0016310|0006796|0052386|0052546,|hydrotropism|methylation|phosphorylation|phosphate-containing compound metabolic process|cell wall thickening|cell wall pectin metabolic process,|0046982|0003677|0016301|0008168|0004427|0000287,|protein heterodimerization activity|DNA binding|kinase activity|methyltransferase activity|inorganic diphosphatase activity|magnesium ion binding,|0000786|0005634|0010369|0016021|0005737|0005654|0016021,|nucleosome|nucleus|chromocenter|integral component of membrane|cytoplasm|nucleoplasm|integral component of membrane,692.3095,725.9915,1508.1745,33.0855
TRINITY_DN1727_c0_g1_i4,H32_WHEAT,PF00125.25,Core histone H2A/H2B/H3/H4  ,.,.,|0046982|0003677,|protein heterodimerization activity|DNA binding,|0000786|0005634,|nucleosome|nucleus,23.5925,0,0,49.3965
TRINITY_DN1733_c0_g1_i1,CUT1B_ARATH,PF07690.17,Major Facilitator Superfamily  ,|0055085|0006817|0097753|0090391|0009773|0009737,|transmembrane transport|phosphate ion transport|membrane bending|granum assembly|photosynthetic electron transport in photosystem I|response to abscisic acid,|0022857|0019904|0003677,|transmembrane transporter activity|protein domain specific binding|DNA binding,|0016021|0009579|0031984|0009507|0016020|0009508|0009526|0005829|0032991,|integral component of membrane|thylakoid|organelle subcompartment|chloroplast|membrane|plastid chromosome|plastid envelope|cytosol|protein-containing complex,173.5375,0,223.1825,16.1205
TRINITY_DN1734_c0_g1_i8,CPSF1_ORYSJ,PF03178.16,CPSF A subunit region ,|0006378,|mRNA polyadenylation,|0003676,|nucleic acid binding,|0005634|0005829|0016021,|nucleus|cytosol|integral component of membrane,112.8645,94.748,0,22.935
TRINITY_DN1750_c0_g1_i13,Y4869_ORYSJ,PF13962.7,Domain of unknown function ,.,.,|0003677,|DNA binding,|0016021|0005634,|integral component of membrane|nucleus,1018.6705,619.611,152.3675,1764.3815
TRINITY_DN1768_c0_g1_i1,WRK24_ORYSI,PF03106.16,WRKY DNA -binding domain ,|0006355,|regulation of transcription DNA-templated,|0043565|0003700,|sequence-specific DNA binding|DNA-binding transcription factor activity,|0005634,|nucleus,0,0,101.241,0
TRINITY_DN17738_c0_g1_i2,SYMPK_HUMAN,PF12295.9,Symplekin tight junction protein C,|0006378|0035194,|mRNA polyadenylation|post-transcriptional gene silencing by RNA,.,.,|0005847|0016021,|mRNA cleavage and polyadenylation specificity factor complex|integral component of membrane,58.587,70.751,0,6.4335
TRINITY_DN17738_c0_g1_i6,SYMPK_HUMAN,PF12295.9,Symplekin tight junction protein C,|0006378|0035194,|mRNA polyadenylation|post-transcriptional gene silencing by RNA,.,.,|0005847|0016021,|mRNA cleavage and polyadenylation specificity factor complex|integral component of membrane,472.4865,259.729,52.928,13.5485
TRINITY_DN1779_c0_g1_i1,RRAA3_ARATH,PF03737.16,Aldolase/RraA    ,|0043086|0051252|0032259|0140527|0007127|0015995|0050992|0008299,|negative regulation of catalytic activity|regulation of RNA metabolic process|methylation|reciprocal homologous recombination|meiosis I|chlorophyll biosynthetic process|dimethylallyl diphosphate biosynthetic process|isoprenoid biosynthetic process,|0047443|0008428|0008948|0046872|0008168|0004452|0016787,|4-hydroxy-4-methyl-2-oxoglutarate aldolase activity|ribonuclease inhibitor activity|oxaloacetate decarboxylase activity|metal ion binding|methyltransferase activity|isopentenyl-diphosphate delta-isomerase activity|hydrolase activity,|0009536,|plastid,86.1335,244.142,193.3485,0
TRINITY_DN1780_c0_g1_i5,TIC40_PEA,PF17830.2,STI1 domain   ,|0045037|0009658,|protein import into chloroplast stroma|chloroplast organization,.,.,|0009706|0009535|0016021,|chloroplast inner membrane|chloroplast thylakoid membrane|integral component of membrane,0,0,68.853,0
TRINITY_DN1784_c0_g1_i4,HD16N_ORYSJ,PF00069.26,Protein kinase domain  ,|0006468|0018209|0006897|0048574|0016570,|protein phosphorylation|peptidyl-serine modification|endocytosis|long-day photoperiodism flowering|histone modification,|0004672|0005524|0005515,|protein kinase activity|ATP binding|protein binding,|0005634|0005737,|nucleus|cytoplasm,87,106.5415,232.0475,0
TRINITY_DN17874_c0_g2_i12,PTA10_ARATH,PF12597.9,Protein of unknown function (DUF3767),.,.,|0003676|0005515,|nucleic acid binding|protein binding,|0009508|0009507|0005829,|plastid chromosome|chloroplast|cytosol,663.271,35.5085,19.5515,0
TRINITY_DN1811_c0_g1_i7,BAG6_ARATH,PF10702.10,Protein of unknown function (DUF2507),.,.,.,.,.,.,800.5065,610.8395,9.5935,5.187
TRINITY_DN1811_c0_g1_i8,BAG6_ARATH,PF10702.10,Protein of unknown function (DUF2507),.,.,.,.,.,.,1543.394,1112.7045,36.7645,416.075
TRINITY_DN1816_c0_g1_i2,WRK19_ARATH,.,.,.,.,.,.,.,.,0,149.909,169.2635,19.945
TRINITY_DN1819_c0_g1_i1,GSHRC_ORYSJ,PF07992.15,Pyridine nucleotide-disulphide oxidoreductase  ,.,.,.,.,.,.,7657.253,4629.4355,126.471,1062.729
TRINITY_DN1821_c0_g1_i2,HSP71_SOLLC,PF00012.21,Hsp70 protein   ,.,.,|0005524,|ATP binding,.,.,23935.2175,19163.448,408.8765,2680.639
TRINITY_DN1821_c0_g1_i3,HSP7C_PETHY,PF00012.21,Hsp70 protein   ,|0051085|0034620|0042026|0009615|0009408,|chaperone cofactor-dependent protein refolding|cellular response to unfolded protein|protein refolding|response to virus|response to heat,|0051787|0044183|0005524|0031072|0051082|0016887,|misfolded protein binding|protein folding chaperone|ATP binding|heat shock protein binding|unfolded protein binding|ATPase activity,|0005788|0005618|0005886,|endoplasmic reticulum lumen|cell wall|plasma membrane,0,0,51.7295,81.6285
TRINITY_DN1825_c0_g2_i2,PBL19_ARATH,PF00069.26,Protein kinase domain  ,|0006468,|protein phosphorylation,|0016301|0016773|0140096|0005524,|kinase activity|phosphotransferase activity alcohol group as acceptor|catalytic activity acting on a protein|ATP binding,.,.,106.5855,80.6095,230.818,0
TRINITY_DN1835_c0_g1_i1,VCL1_ARATH,PF04841.14,Vps16,|0007033|0006886|0007033|0006886,|vacuole organization|intracellular protein transport|vacuole organization|intracellular protein transport,.,.,|0005737|0005737,|cytoplasm|cytoplasm,72.2875,0,259.5685,0
TRINITY_DN1850_c0_g1_i30,HOX32_ORYSJ,PF08670.12,MEKHLA domain   ,.,.,|0008289|0003677,|lipid binding|DNA binding,|0005634|0016021,|nucleus|integral component of membrane,47.7665,1878.932,831.006,3055.786
TRINITY_DN18678_c0_g1_i1,LEC1_REMVI,.,.,.,.,.,.,.,.,140.3565,52.859,3.1235,2.613
TRINITY_DN1867_c0_g1_i7,OFUT7_ARATH,PF13905.7,Thioredoxin-like    ,|0006004|0098869|0022900|0006508,|fucose metabolic process|cellular oxidant detoxification|electron transport chain|proteolysis,|0016740|0046982|0004176|0004601|0004222|0009055|0003677|0005524,|transferase activity|protein heterodimerization activity|ATP-dependent peptidase activity|peroxidase activity|metalloendopeptidase activity|electron transfer activity|DNA binding|ATP binding,|0005634|0005737|0016021|0000786,|nucleus|cytoplasm|integral component of membrane|nucleosome,194.165,425.958,130.4785,0
TRINITY_DN1873_c0_g1_i3,BRM_ARATH,PF00439.26,Bromodomain    ,|0043044|0040029|0006355|0043044|0040029|0006355|0010199|1900036|1903798|1903508|0032508|0007275,|ATP-dependent chromatin remodeling|regulation of gene expression epigenetic|regulation of transcription DNA-templated|ATP-dependent chromatin remodeling|regulation of gene expression epigenetic|regulation of transcription DNA-templated|organ boundary specification between lateral organs and the meristem|positive regulation of cellular response to heat|regulation of production of miRNAs involved in gene silencing by miRNA|positive regulation of nucleic acid-templated transcription|DNA duplex unwinding|multicellular organism development,|0008094|0008094|0004386|0005524|0003682|0003677|0005515|0140097,|DNA-dependent ATPase activity|DNA-dependent ATPase activity|helicase activity|ATP binding|chromatin binding|DNA binding|protein binding|catalytic activity acting on DNA,|0005634|0005829|0016021,|nucleus|cytosol|integral component of membrane,0,54.7715,54.9235,75.211
TRINITY_DN1901_c0_g1_i3,ZFR_XENLA,PF12874.8,Zinc-finger of C2H2 type ,.,.,.,.,.,.,141.8645,98.7345,207.1785,0
TRINITY_DN1927_c0_g1_i11,SYD_ARATH,PF00176.24,SNF2 family N-terminal domain ,.,.,.,.,.,.,711.7125,483.7055,510.3915,5.1915
TRINITY_DN1935_c0_g1_i8,TOP2_ARATH,PF00521.21,DNA gyrase/topoisomerase IV,|0006265|0000712|0044774|0000819,|DNA topological change|resolution of meiotic recombination intermediates|mitotic DNA integrity checkpoint|sister chromatid segregation,|0003918|0003677|0005524|0046872,|DNA topoisomerase type II (double strand cut ATP-hydrolyzing) activity|DNA binding|ATP binding|metal ion binding,|0005634|0016021,|nucleus|integral component of membrane,310.2685,159.339,0,17.9655
TRINITY_DN19553_c0_g2_i2,WOX2_ARATH,PF00046.30,Homeodomain    ,|0010654|0090451|0009942|0048825|0080167|0008284|0006355,|apical cell fate commitment|cotyledon boundary formation|longitudinal axis specification|cotyledon development|response to karrikin|positive regulation of cell population proliferation|regulation of transcription DNA-templated,|0003677|0003700,|DNA binding|DNA-binding transcription factor activity,|0005634|0016021,|nucleus|integral component of membrane,107.9905,248.939,122.4575,0
TRINITY_DN1968_c1_g2_i1,EIL1B_ORYSJ,PF04873.14,Ethylene insensitive 3  ,|0009873|0006355|0042742,|ethylene-activated signaling pathway|regulation of transcription DNA-templated|defense response to bacterium,|0003700|0003677|0005515,|DNA-binding transcription factor activity|DNA binding|protein binding,|0005634,|nucleus,78.247,99.613,110.7385,0
TRINITY_DN1972_c0_g1_i12,KEG_ARATH,PF04099.13,Sybindin-like family   ,|0006888|0016567|0006468|0009788|0045324|0009738|0048589|0016197|0006952|0032940,|endoplasmic reticulum to Golgi vesicle-mediated transport|protein ubiquitination|protein phosphorylation|negative regulation of abscisic acid-activated signaling pathway|late endosome to vacuole transport|abscisic acid-activated signaling pathway|developmental growth|endosomal transport|defense response|secretion by cell,|0004672|0005524|0004842|0046872|0043621|0016874,|protein kinase activity|ATP binding|ubiquitin-protein transferase activity|metal ion binding|protein self-association|ligase activity,|0030008|0005794|0005783|0031410|0016020|0005802|0005769,|TRAPP complex|Golgi apparatus|endoplasmic reticulum|cytoplasmic vesicle|membrane|trans-Golgi network|early endosome,115.7195,89.732,0,44.1985
TRINITY_DN1972_c0_g1_i15,KEG_ARATH,PF04099.13,Sybindin-like family   ,|0006888|0016567|0006468|0009788|0045324|0009738|0048589|0016197|0006952|0032940,|endoplasmic reticulum to Golgi vesicle-mediated transport|protein ubiquitination|protein phosphorylation|negative regulation of abscisic acid-activated signaling pathway|late endosome to vacuole transport|abscisic acid-activated signaling pathway|developmental growth|endosomal transport|defense response|secretion by cell,|0004672|0005524|0004842|0046872|0043621|0016874,|protein kinase activity|ATP binding|ubiquitin-protein transferase activity|metal ion binding|protein self-association|ligase activity,|0030008|0005794|0005783|0031410|0016020|0005802|0005769,|TRAPP complex|Golgi apparatus|endoplasmic reticulum|cytoplasmic vesicle|membrane|trans-Golgi network|early endosome,0,0,69.54,0
TRINITY_DN1981_c0_g1_i4,BRG3_ARATH,PF13920.7,Zinc finger,.,.,.,.,.,.,127.313,124.5655,85.3375,0
TRINITY_DN1998_c0_g1_i1,UBP26_ORYSJ,PF00240.24,Ubiquitin family   ,|0018215|0016579|0048316|0006511|0016579|0006511|0018215|0048316,|protein phosphopantetheinylation|protein deubiquitination|seed development|ubiquitin-dependent protein catabolic process|protein deubiquitination|ubiquitin-dependent protein catabolic process|protein phosphopantetheinylation|seed development,|0004843|0008234|0004175|0004843|0008234|0004175,|thiol-dependent ubiquitin-specific protease activity|cysteine-type peptidase activity|endopeptidase activity|thiol-dependent ubiquitin-specific protease activity|cysteine-type peptidase activity|endopeptidase activity,|0005634|0070013|0043233|0005829|0043232|0005634|0005829|0070013|0043233|0043232|0016021,|nucleus|intracellular organelle lumen|organelle lumen|cytosol|intracellular non-membrane-bounded organelle|nucleus|cytosol|intracellular organelle lumen|organelle lumen|intracellular non-membrane-bounded organelle|integral component of membrane,18.343,110.4045,0,0
TRINITY_DN2012_c0_g1_i2,Y2982_ORYSJ,PF02362.22,B3 DNA binding domain ,.,.,.,.,.,.,0,0,82.9515,0
TRINITY_DN202_c0_g1_i24,PD338_ARATH,PF02636.18,Putative S-adenosyl-L-methionine-dependent methyltransferase  ,|0019918|0032981|0006468|1902600|0043489|0010196|0032544|0045727,|peptidyl-arginine methylation to symmetrical-dimethyl arginine|mitochondrial respiratory chain complex I assembly|protein phosphorylation|proton transmembrane transport|RNA stabilization|nonphotochemical quenching|plastid translation|positive regulation of translation,|0035243|0008270|0004674|0015078|0005524|0003676,|protein-arginine omega-N symmetric methyltransferase activity|zinc ion binding|protein serine/threonine kinase activity|proton transmembrane transporter activity|ATP binding|nucleic acid binding,|0005739|0033179|0016021|0005840|0009507,|mitochondrion|proton-transporting V-type ATPase V0 domain|integral component of membrane|ribosome|chloroplast,169.697,20.3725,0,0
TRINITY_DN2036_c0_g1_i36,SCP51_ARATH,PF00450.23,Serine carboxypeptidase   ,|0006508,|proteolysis,|0004185,|serine-type carboxypeptidase activity,.,.,147.679,103.054,89.586,0
TRINITY_DN205_c1_g1_i8,AVT1A_ARATH,PF01490.19,Transmembrane amino acid transporter protein,|0006865|0009734|0055085,|amino acid transport|auxin-activated signaling pathway|transmembrane transport,|0015293,|symporter activity,|0005774|0016021|0005886,|vacuolar membrane|integral component of membrane|plasma membrane,0,0,78.621,3.4525
TRINITY_DN2064_c0_g1_i91,VPS3_ARATH,PF00780.23,CNH domain   ,|0016192|0006886|0090174|0016050|0006914|0006886|0016192|0010015|0090174|0016050|0006914,|vesicle-mediated transport|intracellular protein transport|organelle membrane fusion|vesicle organization|autophagy|intracellular protein transport|vesicle-mediated transport|root morphogenesis|organelle membrane fusion|vesicle organization|autophagy,|0031267|0031267,|small GTPase binding|small GTPase binding,|0005737|0016020|0033263|0005829|0016020,|cytoplasm|membrane|CORVET complex|cytosol|membrane,493.7365,0,172.1395,0
TRINITY_DN206_c0_g1_i16,PCKA_MAIZE,PF01293.21,Phosphoenolpyruvate carboxykinase   ,|0006094|0016310,|gluconeogenesis|phosphorylation,|0004612|0005524|0016301,|phosphoenolpyruvate carboxykinase (ATP) activity|ATP binding|kinase activity,|0005829|0016021,|cytosol|integral component of membrane,1016.7945,652.8005,4.814,0
TRINITY_DN206_c0_g1_i30,BH095_ARATH,PF01293.21,Phosphoenolpyruvate carboxykinase   ,|0006094|0016310|0006094|0016310,|gluconeogenesis|phosphorylation|gluconeogenesis|phosphorylation,|0004612|0005524|0016301|0004612|0005524|0016301|0046872,|phosphoenolpyruvate carboxykinase (ATP) activity|ATP binding|kinase activity|phosphoenolpyruvate carboxykinase (ATP) activity|ATP binding|kinase activity|metal ion binding,|0005829|0005829|0016021,|cytosol|cytosol|integral component of membrane,130.331,280.696,23.572,0
TRINITY_DN206_c0_g1_i44,PCKA1_ARATH,PF01293.21,Phosphoenolpyruvate carboxykinase   ,|0006094|0016310|0015074,|gluconeogenesis|phosphorylation|DNA integration,|0004612|0005524|0016301|0003676,|phosphoenolpyruvate carboxykinase (ATP) activity|ATP binding|kinase activity|nucleic acid binding,|0005829|0016021,|cytosol|integral component of membrane,782.2245,1047.479,45.028,0
