,Table S1. All DEGs obtained in this study.,,,,,,,,
TRINITY_DN256_c0_g1_i1,CDF2_ARATH,PF02701.16,Dof domain,.,.,.,.,.,.
TRINITY_DN2577_c0_g1_i1,HSP7S_PEA,PF00012.21,Hsp70 protein   ,|0006457|0072596|0046686|0009409|0009408|0006605,|protein folding|establishment of protein localization to chloroplast|response to cadmium ion|response to cold|response to heat|protein targeting,|0051082|0005524,|unfolded protein binding|ATP binding,|0009507|0009532|0009526|0009579|0005739|0005634,|chloroplast|plastid stroma|plastid envelope|thylakoid|mitochondrion|nucleus
TRINITY_DN2594_c0_g1_i10,ACOT8_MOUSE,PF13622.7,Thioesterase-like superfamily   ,|0006637|0009062,|acyl-CoA metabolic process|fatty acid catabolic process,|0047617,|acyl-CoA hydrolase activity,|0005829|0016021,|cytosol|integral component of membrane
TRINITY_DN2612_c0_g1_i12,PIMT_WHEAT,PF01135.20,Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)  ,|0008213|0043414,|protein alkylation|macromolecule methylation,|0004719,|protein-L-isoaspartate (D-aspartate) O-methyltransferase activity,|0005737|0016021,|cytoplasm|integral component of membrane
TRINITY_DN2629_c0_g1_i5,TAF7_ARATH,PF04658.14,TAFII55 protein conserved region ,|0006367|0006413|0070897,|transcription initiation from RNA polymerase II promoter|translational initiation|transcription preinitiation complex assembly,|0003743|0016251,|translation initiation factor activity|RNA polymerase II general transcription initiation factor activity,|0005669|0016021,|transcription factor TFIID complex|integral component of membrane
TRINITY_DN2641_c0_g1_i1,NHL10_ARATH,PF03168.14,Late embryogenesis abundant protein ,.,.,.,.,|0046658|0009506|0016021,|anchored component of plasma membrane|plasmodesma|integral component of membrane
TRINITY_DN2644_c0_g1_i16,CHR9_ARATH,PF00176.24,SNF2 family N-terminal domain ,|0006281,|DNA repair,|0005524|0016787|0003677,|ATP binding|hydrolase activity|DNA binding,|0009506,|plasmodesma
TRINITY_DN265_c0_g1_i4,CKL2_ARATH,PF17501.3,Viral RNA-directed RNA polymerase ,|0006468|0018209|0006897,|protein phosphorylation|peptidyl-serine modification|endocytosis,|0004674|0005524,|protein serine/threonine kinase activity|ATP binding,|0005634|0005737|0009506|0016021,|nucleus|cytoplasm|plasmodesma|integral component of membrane
TRINITY_DN2663_c0_g1_i12,BH130_ARATH,PF00010.27,Helix-loop-helix DNA-binding domain  ,|0006357|0048573,|regulation of transcription by RNA polymerase II|photoperiodism flowering,|0046983|0000978|0000981,|protein dimerization activity|RNA polymerase II cis-regulatory region sequence-specific DNA binding|DNA-binding transcription factor activity RNA polymerase II-specific,|0005634,|nucleus
TRINITY_DN2667_c0_g2_i1,CSE_ARATH,PF12146.9,Serine aminopeptidase,.,.,|0016298|0052689,|lipase activity|carboxylic ester hydrolase activity,|0016020,|membrane
TRINITY_DN2674_c0_g1_i4,OBL1_TOBAC,PF01764.26,Lipase (class 3)  ,|0006629,|lipid metabolic process,.,.,|0016021,|integral component of membrane
TRINITY_DN2686_c0_g1_i2,INV2_ORYSI,PF08244.13,Glycosyl hydrolases family 32 C,.,.,.,.,.,.
TRINITY_DN2696_c0_g1_i1,GLIP7_ARATH,PF00657.23,GDSL-like Lipase/Acylhydrolase   ,|0016042|0005975,|lipid catabolic process|carbohydrate metabolic process,|0016788|0016788|0004553,|hydrolase activity acting on ester bonds|hydrolase activity acting on ester bonds|hydrolase activity hydrolyzing O-glycosyl compounds,|0005576|0016021,|extracellular region|integral component of membrane
TRINITY_DN2722_c0_g1_i19,SUF4_ARATH,PF13894.7,C2H2-type zinc finger  ,|0006355,|regulation of transcription DNA-templated,|0003677|0046872,|DNA binding|metal ion binding,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN2722_c0_g1_i77,SUF4_ARATH,PF13894.7,C2H2-type zinc finger  ,|0006355,|regulation of transcription DNA-templated,|0003677|0046872,|DNA binding|metal ion binding,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN2727_c0_g1_i36,MENE_ARATH,PF00501.29,AMP-binding enzyme   ,|0042372|0006631|0017000|0072330|0008610|0009234|0015910|0015916|0034440|0044242|0072329|0019538|0043043|0010467|0034645|0042372|0006631,|phylloquinone biosynthetic process|fatty acid metabolic process|antibiotic biosynthetic process|monocarboxylic acid biosynthetic process|lipid biosynthetic process|menaquinone biosynthetic process|long-chain fatty acid import into peroxisome|fatty-acyl-CoA transport|lipid oxidation|cellular lipid catabolic process|monocarboxylic acid catabolic process|protein metabolic process|peptide biosynthetic process|gene expression|cellular macromolecule biosynthetic process|phylloquinone biosynthetic process|fatty acid metabolic process,|0031956|0031177|0008756|0004315|0004467|0005524|0031957|0004190|0016788|0003735|0031956|0031177,|medium-chain fatty acid-CoA ligase activity|phosphopantetheine binding|o-succinylbenzoate-CoA ligase activity|3-oxoacyl-[acyl-carrier-protein] synthase activity|long-chain fatty acid-CoA ligase activity|ATP binding|very long-chain fatty acid-CoA ligase activity|aspartic-type endopeptidase activity|hydrolase activity acting on ester bonds|structural constituent of ribosome|medium-chain fatty acid-CoA ligase activity|phosphopantetheine binding,|0005777|0009507|0031903|0042170|0016021|0005840|0042579|0009507|0016021,|peroxisome|chloroplast|microbody membrane|plastid membrane|integral component of membrane|ribosome|microbody|chloroplast|integral component of membrane
TRINITY_DN2727_c0_g1_i70,MENE_ARATH,PF00501.29,AMP-binding enzyme   ,|1901663|0009233|0009698|0042374|0006631|0017000|0072330|0008610|0042372|0006631,|quinone biosynthetic process|menaquinone metabolic process|phenylpropanoid metabolic process|phylloquinone metabolic process|fatty acid metabolic process|antibiotic biosynthetic process|monocarboxylic acid biosynthetic process|lipid biosynthetic process|phylloquinone biosynthetic process|fatty acid metabolic process,|0016405|0016878|0005524|0016887|0031177|0004315|0031956|0031177,|CoA-ligase activity|acid-thiol ligase activity|ATP binding|ATPase activity|phosphopantetheine binding|3-oxoacyl-[acyl-carrier-protein] synthase activity|medium-chain fatty acid-CoA ligase activity|phosphopantetheine binding,|0005777|0009507|0016021|0042579|0009507|0016021,|peroxisome|chloroplast|integral component of membrane|microbody|chloroplast|integral component of membrane
TRINITY_DN2734_c0_g1_i8,CLCF_ARATH,PF00654.21,Voltage gated chloride channel ,|1902476|0034765,|chloride transmembrane transport|regulation of ion transmembrane transport,|0005247|0008194,|voltage-gated chloride channel activity|UDP-glycosyltransferase activity,|0005794|0009507|0016021|1990351|0098796,|Golgi apparatus|chloroplast|integral component of membrane|transporter complex|membrane protein complex
TRINITY_DN2739_c0_g1_i5,RGAPX_ARATH,PF00620.28,RhoGAP domain   ,|0007165|0006817|0055085|0016310,|signal transduction|phosphate ion transport|transmembrane transport|phosphorylation,|0016787|0003951|0022857,|hydrolase activity|NAD+ kinase activity|transmembrane transporter activity,|0016021,|integral component of membrane
TRINITY_DN2763_c0_g1_i13,PER17_ARATH,PF00141.24,Peroxidase    ,|0006979|0098869|0006979|0098869,|response to oxidative stress|cellular oxidant detoxification|response to oxidative stress|cellular oxidant detoxification,|0004601|0020037|0046872|0004601|0020037|0046872,|peroxidase activity|heme binding|metal ion binding|peroxidase activity|heme binding|metal ion binding,.,.
TRINITY_DN2806_c0_g1_i10,RIBA1_ORYSJ,PF00926.20,3,|0009231|0016311|0016310,|riboflavin biosynthetic process|dephosphorylation|phosphorylation,|0003935|0008686|0005525|0046872|0003724|0016791|0016740|0005524|0003676,|GTP cyclohydrolase II activity|34-dihydroxy-2-butanone-4-phosphate synthase activity|GTP binding|metal ion binding|RNA helicase activity|phosphatase activity|transferase activity|ATP binding|nucleic acid binding,|0009507|0009532|0016021,|chloroplast|plastid stroma|integral component of membrane
TRINITY_DN2808_c0_g1_i1,PSME4_ARATH,PF16507.6,Proteasome-substrate-size regulator,|0010952|0006281|0010499|0015074|0010952|0006281|0010499,|positive regulation of peptidase activity|DNA repair|proteasomal ubiquitin-independent protein catabolic process|DNA integration|positive regulation of peptidase activity|DNA repair|proteasomal ubiquitin-independent protein catabolic process,|0070577|0016504|0070628|0070577|0016504|0070628,|lysine-acetylated histone binding|peptidase activator activity|proteasome binding|lysine-acetylated histone binding|peptidase activator activity|proteasome binding,|0000502|0005829|0005634|0005829|0005634,|proteasome complex|cytosol|nucleus|cytosol|nucleus
TRINITY_DN2813_c0_g1_i1,ERLL2_ARATH,PF14547.7,Hydrophobic seed protein  ,.,.,|0008289,|lipid binding,.,.
TRINITY_DN2813_c0_g1_i2,ERLL2_ARATH,PF14547.7,Hydrophobic seed protein  ,.,.,|0008289,|lipid binding,.,.
TRINITY_DN2823_c0_g1_i5,REM41_ORYSJ,PF03763.14,Remorin,|0051726,|regulation of cell cycle,|0004693|0008270,|cyclin-dependent protein serine/threonine kinase activity|zinc ion binding,|0005886,|plasma membrane
TRINITY_DN28343_c0_g1_i1,FUCO1_ARATH,PF01120.18,Alpha-L-fucosidase    ,|0005975|0016139|0044281,|carbohydrate metabolic process|glycoside catabolic process|small molecule metabolic process,|0004560|0004565,|alpha-L-fucosidase activity|beta-galactosidase activity,|0005764|0016021,|lysosome|integral component of membrane
TRINITY_DN2834_c0_g1_i14,SCP34_ARATH,PF00450.23,Serine carboxypeptidase   ,|0006508,|proteolysis,|0004185,|serine-type carboxypeptidase activity,|0005773|0005576,|vacuole|extracellular region
TRINITY_DN2836_c0_g1_i1,GLPT1_ARATH,PF07690.17,Major Facilitator Superfamily  ,|0055062|0055085|0006817,|phosphate ion homeostasis|transmembrane transport|phosphate ion transport,|0022857|0016787,|transmembrane transporter activity|hydrolase activity,|0016021,|integral component of membrane
TRINITY_DN2840_c0_g1_i13,IF1A_ONOVI,PF01176.20,Translation initiation factor 1A /,|0006413,|translational initiation,|0003743|0003729,|translation initiation factor activity|mRNA binding,|0005829|0005739,|cytosol|mitochondrion
TRINITY_DN2862_c0_g1_i1,ALL8_OLEEU,PF00036.33,EF hand   ,.,.,|0005509,|calcium ion binding,.,.
TRINITY_DN2896_c0_g1_i15,AGO4A_ORYSJ,PF02171.18,Piwi domain   ,|0031047|0006511|0007275,|gene silencing by RNA|ubiquitin-dependent protein catabolic process|multicellular organism development,|0003676,|nucleic acid binding,|0016021|0005737,|integral component of membrane|cytoplasm
TRINITY_DN2925_c0_g1_i3,HMGL_IPONI,PF00505.20,HMG (high mobility group) box,.,.,|0003677,|DNA binding,|0005634,|nucleus
TRINITY_DN2956_c0_g1_i11,IF5A2_NICPL,PF01287.21,Eukaryotic elongation factor 5A hypusine,|0045905|0045901|0006414|0006413|0006355,|positive regulation of translational termination|positive regulation of translational elongation|translational elongation|translational initiation|regulation of transcription DNA-templated,|0043022|0003746|0003743|0043565|0003700,|ribosome binding|translation elongation factor activity|translation initiation factor activity|sequence-specific DNA binding|DNA-binding transcription factor activity,|0005634,|nucleus
TRINITY_DN2956_c0_g1_i4,IF5A2_NICPL,PF01287.21,Eukaryotic elongation factor 5A hypusine,|0045905|0045901|0006414|0006413|0006355,|positive regulation of translational termination|positive regulation of translational elongation|translational elongation|translational initiation|regulation of transcription DNA-templated,|0043022|0003746|0003743|0043565|0003700,|ribosome binding|translation elongation factor activity|translation initiation factor activity|sequence-specific DNA binding|DNA-binding transcription factor activity,|0005634,|nucleus
TRINITY_DN2957_c0_g1_i6,CA1P_WHEAT,PF00300.23,Histidine phosphatase superfamily (branch 1),.,.,|0003824,|catalytic activity,.,.
TRINITY_DN2967_c0_g1_i11,ATESY_MAGGA,PF03936.17,Terpene synthase family,|0043693|0033383|0016114,|monoterpene biosynthetic process|geranyl diphosphate metabolic process|terpenoid biosynthetic process,|0010333|0000287|0034008,|terpene synthase activity|magnesium ion binding|R-linalool synthase activity,|0009570,|chloroplast stroma
TRINITY_DN2967_c0_g1_i3,SPISY_SANSP,PF03936.17,Terpene synthase family,|0006721|0008299|0006644,|terpenoid metabolic process|isoprenoid biosynthetic process|phospholipid metabolic process,|0010333|0000287,|terpene synthase activity|magnesium ion binding,|0009536,|plastid
TRINITY_DN2967_c0_g1_i8,SPISY_SANSP,PF03936.17,Terpene synthase family,|0006721|0008299|0006644,|terpenoid metabolic process|isoprenoid biosynthetic process|phospholipid metabolic process,|0010333|0000287|0010333|0000287,|terpene synthase activity|magnesium ion binding|terpene synthase activity|magnesium ion binding,|0009536,|plastid
TRINITY_DN2994_c0_g1_i11,CMTA3_ARATH,PF03859.17,CG-1 domain   ,|0006357|0071275|0009409|0045893|0006357,|regulation of transcription by RNA polymerase II|cellular response to aluminum ion|response to cold|positive regulation of transcription DNA-templated|regulation of transcription by RNA polymerase II,|0005516|0003677|0003712|0004771|0102567|0102568|0003841|0004623|0004806|0001067|0003700|0005516|0003677|0003712,|calmodulin binding|DNA binding|transcription coregulator activity|sterol esterase activity|phospholipase A2 activity (consuming 12-dipalmitoylphosphatidylcholine)|phospholipase A2 activity consuming 12-dioleoylphosphatidylethanolamine)|1-acylglycerol-3-phosphate O-acyltransferase activity|phospholipase A2 activity|triglyceride lipase activity|regulatory region nucleic acid binding|DNA-binding transcription factor activity|calmodulin binding|DNA binding|transcription coregulator activity,|0005634|0016021|0005634,|nucleus|integral component of membrane|nucleus
TRINITY_DN2_c0_g1_i4,PTI13_ARATH,PF07714.18,Protein tyrosine and serine/threonine kinase,|0018108|0033499|0006006,|peptidyl-tyrosine phosphorylation|galactose catabolic process via UDP-galactose|glucose metabolic process,|0004713|0005524|0004674|0004034,|protein tyrosine kinase activity|ATP binding|protein serine/threonine kinase activity|aldose 1-epimerase activity,|0005886|0016021,|plasma membrane|integral component of membrane
TRINITY_DN3022_c0_g1_i7,MYBA2_ORYSJ,PF00249.32,Myb-like DNA-binding domain  ,|0006355,|regulation of transcription DNA-templated,|0043565,|sequence-specific DNA binding,|0005634,|nucleus
TRINITY_DN3024_c0_g1_i16,SEC_ARATH,PF13844.7,Glycosyl transferase family 41 ,|0006493|0018215|0009910|0010228,|protein O-linked glycosylation|protein phosphopantetheinylation|negative regulation of flower development|vegetative to reproductive phase transition of meristem,|0097363|0016262|0042802,|protein O-GlcNAc transferase activity|protein N-acetylglucosaminyltransferase activity|identical protein binding,|0016021,|integral component of membrane
TRINITY_DN3031_c0_g1_i17,PIRL8_ORYSJ,PF13855.7,Leucine rich repeat  ,|0006468,|protein phosphorylation,|0106311|0106310,|protein threonine kinase activity|protein serine kinase activity,.,.
TRINITY_DN3035_c0_g1_i5,RH24_ARATH,PF00270.30,DEAD/DEAH box helicase  ,|0006355,|regulation of transcription DNA-templated,|0004386|0005524|0003676|0140098|0003700,|helicase activity|ATP binding|nucleic acid binding|catalytic activity acting on RNA|DNA-binding transcription factor activity,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN305_c0_g1_i4,NPR2_ORYSJ,PF12313.9,NPR1/NIM1 like defence protein C,|2000022|0006952|0016567|0009620|0009617,|regulation of jasmonic acid mediated signaling pathway|defense response|protein ubiquitination|response to fungus|response to bacterium,.,.,|0005634,|nucleus
TRINITY_DN3068_c0_g1_i39,PABN2_ARATH,PF00076.23,RNA recognition motif. (a.k.a. RRM,.,.,|0003723,|RNA binding,.,.
TRINITY_DN3069_c0_g1_i5,C3H24_ORYSJ,PF00023.31,Ankyrin repeat   ,|1902074|0006468,|response to salt|protein phosphorylation,|0046872|0003677|0106311|0106310|0016787,|metal ion binding|DNA binding|protein threonine kinase activity|protein serine kinase activity|hydrolase activity,|0005634|0005737,|nucleus|cytoplasm
TRINITY_DN3069_c0_g2_i2,C3H24_ORYSJ,PF00023.31,Ankyrin repeat   ,|0006468,|protein phosphorylation,|0046872|0106311|0106310|0003677|0016787,|metal ion binding|protein threonine kinase activity|protein serine kinase activity|DNA binding|hydrolase activity,.,.
TRINITY_DN3090_c0_g1_i8,WDR7_HUMAN,PF00400.33,WD domain,.,.,.,.,|0005829,|cytosol
TRINITY_DN3120_c0_g1_i98,AFC2_ARATH,PF00069.26,Protein kinase domain  ,|0006468|0006397|0006468|0006397,|protein phosphorylation|mRNA processing|protein phosphorylation|mRNA processing,|0004672|0005524|0004672|0005524|0047734|0047631,|protein kinase activity|ATP binding|protein kinase activity|ATP binding|CDP-glycerol diphosphatase activity|ADP-ribose diphosphatase activity,|0016021|0016021,|integral component of membrane|integral component of membrane
TRINITY_DN3130_c0_g1_i3,STAD_ELAGV,PF03405.15,Fatty acid desaturase  ,.,.,.,.,.,.
TRINITY_DN3135_c0_g1_i4,SPSY_ARATH,PF01564.18,Spermine/spermidine synthase domain  ,|0006596|0008215|0042742|0051603,|polyamine biosynthetic process|spermine metabolic process|defense response to bacterium|proteolysis involved in cellular protein catabolic process,|0016740|0004197,|transferase activity|cysteine-type endopeptidase activity,|0005764|0005615|0016021,|lysosome|extracellular space|integral component of membrane
TRINITY_DN3142_c0_g1_i1,HS186_ORYSJ,PF00011.22,Hsp20/alpha crystallin family  ,.,.,.,.,.,.
TRINITY_DN3142_c0_g1_i2,HS186_ORYSJ,PF00011.22,Hsp20/alpha crystallin family  ,|0009408|0042542|0009651|0051259|0006457,|response to heat|response to hydrogen peroxide|response to salt stress|protein complex oligomerization|protein folding,|0043621|0051082,|protein self-association|unfolded protein binding,|0005737,|cytoplasm
TRINITY_DN3155_c0_g1_i2,ZSWM7_DANRE,PF04434.18,SWIM zinc finger  ,|0000724|0042742,|double-strand break repair via homologous recombination|defense response to bacterium,|0008270,|zinc ion binding,|0097196|0005634|0016021,|Shu complex|nucleus|integral component of membrane
TRINITY_DN315_c0_g1_i1,PORA_CUCSA,PF00106.26,short chain dehydrogenase  ,.,.,.,.,.,.
TRINITY_DN3183_c0_g1_i1,PHI1_ORYSJ,PF04674.13,Phosphate-induced protein 1 conserved region,.,.,.,.,|0005615,|extracellular space
TRINITY_DN3203_c1_g1_i9,KN7E_ORYSJ,PF00225.24,Kinesin motor domain  ,|0007018,|microtubule-based movement,|0003774|0008017|0005524|0016887,|motor activity|microtubule binding|ATP binding|ATPase activity,|0005874|0005871|0005886,|microtubule|kinesin complex|plasma membrane
TRINITY_DN320_c1_g1_i6,MYB05_ANTMA,PF00249.32,Myb-like DNA-binding domain  ,|0006355|0080187|0010597|2000762|1903338|0009909|0007623,|regulation of transcription DNA-templated|floral organ senescence|green leaf volatile biosynthetic process|regulation of phenylpropanoid metabolic process|regulation of cell wall organization or biogenesis|regulation of flower development|circadian rhythm,|0043565|0001067|0003690|0003700,|sequence-specific DNA binding|regulatory region nucleic acid binding|double-stranded DNA binding|DNA-binding transcription factor activity,|0005634|0009505,|nucleus|plant-type cell wall
TRINITY_DN3228_c0_g1_i13,P2C04_ORYSJ,PF00481.22,Protein phosphatase 2C  ,|0006470|0006468,|protein dephosphorylation|protein phosphorylation,|0004722|0004672|0005524,|protein serine/threonine phosphatase activity|protein kinase activity|ATP binding,|0005829|0005634,|cytosol|nucleus
TRINITY_DN3232_c0_g1_i12,SIZ1_ARATH,PF02037.28,SAP domain   ,|0016925|0034968,|protein sumoylation|histone lysine methylation,|0016874|0008270|0061665|0018024|0005515,|ligase activity|zinc ion binding|SUMO ligase activity|histone-lysine N-methyltransferase activity|protein binding,|0000785|0005634|0016021,|chromatin|nucleus|integral component of membrane
TRINITY_DN3250_c0_g1_i2,SBT4_LOTJA,PF00082.23,Subtilase family   ,|0006508|0009610|0009609|0036377|0010346|0010150|0001763,|proteolysis|response to symbiotic fungus|response to symbiotic bacterium|arbuscular mycorrhizal association|shoot axis formation|leaf senescence|morphogenesis of a branching structure,|0004252,|serine-type endopeptidase activity,|0048046|0005615|0099503|0005774|0005829|0016021,|apoplast|extracellular space|secretory vesicle|vacuolar membrane|cytosol|integral component of membrane
TRINITY_DN3255_c0_g1_i8,MDM38_YEAST,PF07766.14,LETM1-like protein   ,.,.,.,.,.,.
TRINITY_DN3257_c0_g1_i6,AGDP1_ARATH,PF05641.13,Agenet domain   ,|0006325|0030001,|chromatin organization|metal ion transport,|0003682|0046872,|chromatin binding|metal ion binding,|0009506|0016021,|plasmodesma|integral component of membrane
TRINITY_DN325_c0_g1_i8,IQD32_ARATH,PF13178.7,Protein of unknown function (DUF4005),.,.,.,.,.,.
TRINITY_DN330_c1_g1_i6,HIP37_ARATH,PF00403.27,Heavy-metal-associated domain   ,|0030001,|metal ion transport,|0046872,|metal ion binding,.,.
TRINITY_DN3310_c0_g1_i1,IAA27_ARATH,PF02309.17,AUX/IAA family   ,|1901332|0009734|0006355,|negative regulation of lateral root development|auxin-activated signaling pathway|regulation of transcription DNA-templated,|0005515,|protein binding,|0005634,|nucleus
TRINITY_DN3310_c0_g1_i2,IAA27_ARATH,PF02309.17,AUX/IAA family   ,|0009734|0006355|0010311|1903507|2000113,|auxin-activated signaling pathway|regulation of transcription DNA-templated|lateral root formation|negative regulation of nucleic acid-templated transcription|negative regulation of cellular macromolecule biosynthetic process,|0005515|0003700,|protein binding|DNA-binding transcription factor activity,|0005634|0005737|0016021,|nucleus|cytoplasm|integral component of membrane
TRINITY_DN333_c0_g1_i13,CA1P_ARATH,PF00300.23,Histidine phosphatase superfamily (branch 1),|0016311|0008033|0032774|0034968|0046146|0034312|0042559,|dephosphorylation|tRNA processing|RNA biosynthetic process|histone lysine methylation|tetrahydrobiopterin metabolic process|diol biosynthetic process|pteridine-containing compound biosynthetic process,|0016868|0016791|0016432|0003899|0018024|0008124|0003677,|intramolecular transferase activity phosphotransferases|phosphatase activity|tRNA-uridine aminocarboxypropyltransferase activity|DNA-directed 5'-3' RNA polymerase activity|histone-lysine N-methyltransferase activity|4-alpha-hydroxytetrahydrobiopterin dehydratase activity|DNA binding,|0005737|0005634|0005739|0016021|0016021,|cytoplasm|nucleus|mitochondrion|integral component of membrane|integral component of membrane
TRINITY_DN3362_c0_g1_i3,C3H6_ARATH,PF14608.7,RNA-binding,.,.,|0046872|0003677|0005515|0046872|0003677|0005516,|metal ion binding|DNA binding|protein binding|metal ion binding|DNA binding|calmodulin binding,.,.
TRINITY_DN3372_c0_g1_i4,WDR43_MOUSE,PF04003.13,Dip2/Utp12 Family   ,.,.,.,.,|0005730,|nucleolus
TRINITY_DN339_c0_g1_i1,MURE_ARATH,PF08245.13,Mur ligase middle domain ,|0008360|0051301|0009058|0043572|0009658|0046900|0034641,|regulation of cell shape|cell division|biosynthetic process|plastid fission|chloroplast organization|tetrahydrofolylpolyglutamate metabolic process|cellular nitrogen compound metabolic process,|0016881|0005524,|acid-amino acid ligase activity|ATP binding,|0005737|0009295|0043232|0043231,|cytoplasm|nucleoid|intracellular non-membrane-bounded organelle|intracellular membrane-bounded organelle
TRINITY_DN339_c0_g2_i2,MURE_ARATH,PF08245.13,Mur ligase middle domain ,|0008360|0051301|0009058|0043572|0009658|0046900|0034641,|regulation of cell shape|cell division|biosynthetic process|plastid fission|chloroplast organization|tetrahydrofolylpolyglutamate metabolic process|cellular nitrogen compound metabolic process,|0016881|0005524,|acid-amino acid ligase activity|ATP binding,|0005737|0009295|0043232|0043231,|cytoplasm|nucleoid|intracellular non-membrane-bounded organelle|intracellular membrane-bounded organelle
TRINITY_DN3406_c0_g1_i10,UBP3_ARATH,PF00443.30,Ubiquitin carboxyl-terminal hydrolase  ,|0016579|0006511|0018215,|protein deubiquitination|ubiquitin-dependent protein catabolic process|protein phosphopantetheinylation,|0004843|0008234|0004175,|thiol-dependent ubiquitin-specific protease activity|cysteine-type peptidase activity|endopeptidase activity,|0005829|0005634,|cytosol|nucleus
TRINITY_DN3406_c0_g1_i14,UBP3_ARATH,PF10103.10,Zincin-like metallopeptidase   ,|0016579|0006511|0018215,|protein deubiquitination|ubiquitin-dependent protein catabolic process|protein phosphopantetheinylation,|0004843|0008234|0004175,|thiol-dependent ubiquitin-specific protease activity|cysteine-type peptidase activity|endopeptidase activity,|0005829|0005634,|cytosol|nucleus
TRINITY_DN3419_c0_g1_i5,CRL5_ORYSJ,PF00847.21,AP2 domain   ,|0006355|0006952|0009873,|regulation of transcription DNA-templated|defense response|ethylene-activated signaling pathway,|0003700|0003677,|DNA-binding transcription factor activity|DNA binding,|0005634,|nucleus
TRINITY_DN3424_c0_g1_i7,B3GT7_ARATH,PF01762.22,Galactosyltransferase    ,|0006486,|protein glycosylation,|0016757,|transferase activity transferring glycosyl groups,|0000139|0016021,|Golgi membrane|integral component of membrane
TRINITY_DN3429_c0_g1_i2,ICR3_ARATH,PF01535.21,PPR repeat   ,|0009451,|RNA modification,|0008270|0003723,|zinc ion binding|RNA binding,|0043231,|intracellular membrane-bounded organelle
TRINITY_DN342_c0_g1_i1,VP322_ARATH,PF03357.22,Snf7    ,|0007034|0032509|0006900|0015031,|vacuolar transport|endosome transport via multivesicular body sorting pathway|vesicle budding from membrane|protein transport,|0005515,|protein binding,|0005768|0009898|0098588|0098796,|endosome|cytoplasmic side of plasma membrane|bounding membrane of organelle|membrane protein complex
TRINITY_DN3432_c0_g1_i14,CAAT2_ARATH,PF13906.7,C-terminus of AA_permease  ,|0055085|0006865|0080144,|transmembrane transport|amino acid transport|amino acid homeostasis,|0022857,|transmembrane transporter activity,|0016021|0005637|0009705,|integral component of membrane|nuclear inner membrane|plant-type vacuole membrane
TRINITY_DN3438_c0_g1_i5,TRM11_CHICK,PF01170.19,Putative RNA methylase family UPF0020,|0032259|0006400|0080180|0044260|0090502,|methylation|tRNA modification|2-methylguanosine metabolic process|cellular macromolecule metabolic process|RNA phosphodiester bond hydrolysis endonucleolytic,|0008168|0003676|0140101|0004523,|methyltransferase activity|nucleic acid binding|catalytic activity acting on a tRNA|RNA-DNA hybrid ribonuclease activity,|0005737,|cytoplasm
TRINITY_DN345_c0_g1_i1,AGT23_ARATH,PF00202.22,Aminotransferase class-III   ,.,.,|0008483|0030170,|transaminase activity|pyridoxal phosphate binding,.,.
TRINITY_DN3464_c0_g1_i25,NEK6_ORYSJ,PF00069.26,Protein kinase domain  ,|0006468|0006468|0010366|0010311|0043622,|protein phosphorylation|protein phosphorylation|negative regulation of ethylene biosynthetic process|lateral root formation|cortical microtubule organization,|0004672|0005524|0004672|0005524,|protein kinase activity|ATP binding|protein kinase activity|ATP binding,|0016021,|integral component of membrane
TRINITY_DN3464_c0_g1_i52,NEK6_ORYSJ,PF00069.26,Protein kinase domain  ,|0006468|0010366|0010311|0043622|0006468,|protein phosphorylation|negative regulation of ethylene biosynthetic process|lateral root formation|cortical microtubule organization|protein phosphorylation,|0004672|0005524|0004672|0005524,|protein kinase activity|ATP binding|protein kinase activity|ATP binding,|0055028|0016021,|cortical microtubule|integral component of membrane
TRINITY_DN3464_c0_g1_i58,NEK6_ORYSJ,PF00069.26,Protein kinase domain  ,|0006468|0006468|0010366|0010311|0043622,|protein phosphorylation|protein phosphorylation|negative regulation of ethylene biosynthetic process|lateral root formation|cortical microtubule organization,|0004672|0005524|0005515|0004672|0005524,|protein kinase activity|ATP binding|protein binding|protein kinase activity|ATP binding,|0005737|0016021,|cytoplasm|integral component of membrane
TRINITY_DN3471_c0_g1_i11,MTPC4_ARATH,PF01545.22,Cation efflux family  ,|0098655|0005975|0018215|0098655,|cation transmembrane transport|carbohydrate metabolic process|protein phosphopantetheinylation|cation transmembrane transport,|0008324|0004571|0005509|0019706|0008324,|cation transmembrane transporter activity|mannosyl-oligosaccharide 12-alpha-mannosidase activity|calcium ion binding|protein-cysteine S-palmitoyltransferase activity|cation transmembrane transporter activity,|0005774|0016021|0005774|0016021,|vacuolar membrane|integral component of membrane|vacuolar membrane|integral component of membrane
TRINITY_DN34_c0_g1_i10,LHY_PETHY,PF00249.32,Myb-like DNA-binding domain  ,.,.,.,.,.,.
TRINITY_DN34_c0_g1_i3,LHY_PETHY,PF00249.32,Myb-like DNA-binding domain  ,.,.,.,.,.,.
TRINITY_DN34_c0_g1_i9,LHY_PETHY,PF11534.9,Hexameric tyrosine-coordinated heme protein (HTHP),.,.,.,.,.,.
